,Screen Name,User Name,Tweet Created At,User Location,Tweet Coordinates,Retweet Count,Retweeted,Phone Type,Favorite Count,Favorited,Replied,Tweet
1831,MattHasTheMusic,𝙢𝙖𝙩𝙩 | 🦉Take SCare🎃,2019-11-03 14:19:56,"Washington, DC (via ATL)",None,3,False,Twitter for Android,0,False,None,the university of florida football team has not beaten the university of georgia football team in the last 1 100 earth time based days
1832,ethanchan9101,ethanchan910,2019-11-03 14:19:56,,None,121,False,Twitter for iPhone,0,False,None,riot police have arrested a second journalist of the baptist university s student media on sunday evening despite him wearing press credentials the university s student union immediately issued a statement condemning the police photo nowtv screenshot hongkong 
1833,cammieeexo,🕳🐇,2019-11-03 14:19:54,"Northeast, DC",None,30263,False,Twitter for iPhone,0,False,None,a cornell university study found that men overestimate their abilities and performance while women underestimate both a hewlett packard report also suggests men apply for jobs when they meet 60 of the qualifications but women apply if they meet 100 apply for the jobs ladies 
1834,eddierester,Eddie Rester,2019-11-03 14:19:52,"Oxford, Mississippi","{'type': 'Point', 'coordinates': [-89.52128, 34.36489]}",0,False,Instagram,1,False,None,all saints 2019 candles and choir trumpets and bells and the memories of those we love well name the saints at all 3 services today oxford university united methodist church 
1835,ahahman4,SIUMANMAN,2019-11-03 14:19:52,Hong Kong,None,121,False,Twitter for Android,0,False,None,riot police have arrested a second journalist of the baptist university s student media on sunday evening despite him wearing press credentials the university s student union immediately issued a statement condemning the police photo nowtv screenshot hongkong 
1836,tongueinchiic,emma,2019-11-03 14:19:52,"Rocky River, OH",None,30263,False,Twitter for iPhone,0,False,None,a cornell university study found that men overestimate their abilities and performance while women underestimate both a hewlett packard report also suggests men apply for jobs when they meet 60 of the qualifications but women apply if they meet 100 apply for the jobs ladies 
1837,SaxonTheHound,✈ Wee Saxon 🐾🌳,2019-11-03 14:19:51,Isle of Man 🇮🇲,None,3959,False,Twitter for Android,0,False,None,denmark pays its students 1 000 a month to go to university and charge no tuition fees students are seen as an investment in the future rather than a cost 
1838,MaJin_BooHK,HKer,2019-11-03 14:19:51,,None,570,False,Twitter Web App,0,False,None,these heroes came out to help with the protest they re the american university students that got banned for supporting hong kong let s thank them for their bravery and coming down to the protest freehongkong blizzcon2019 boycottblizzard meiwithhongkong protestblizzcon 
1839,nohmaaan,Numan not noobra,2019-11-03 14:19:51,"Multan, Pakistan",None,1,False,Twitter for Android,0,False,None,is 2 takky ki attendance k liye ap mjhe 8 bjy ki class k liye bulaty hen of university
1840,AnasLamido1,Lamido Jnr,2019-11-03 14:19:51,"Kaduna, Nigeria",None,0,False,Twitter for Android,1,False,1190564318519201792, mohammed nya primary school center for excellent islamiyya p s government science secondary s federal university yola futy taraba state university jalingo national teachers institute kaduna nti 
1841,Craken_MacCraic,Craken MacCraic,2019-11-03 14:19:50,Far beneath in the abysmal sea,None,1,False,Twitter for iPhone,0,False,None,thread gt gt gt much of the problem with misreporting science lies at the feet of university pr departments and bad press releases yup deja that vu 
1843,geolaura,Laura a Estonia,2019-11-03 14:19:50,"Tallinn, Estonia",None,6,False,Twitter Web App,0,False,None,presenting in the lxv anglo catalan society conference at the university of bangor ethnography of a festival pas de sardana and the community of north catalonia acs2019 wales 
1844,hemmoxcam,jamie 👑,2019-11-03 14:19:50,Manila,None,30263,False,Twitter for Android,0,False,None,a cornell university study found that men overestimate their abilities and performance while women underestimate both a hewlett packard report also suggests men apply for jobs when they meet 60 of the qualifications but women apply if they meet 100 apply for the jobs ladies 
1845,Cheyenne196060,Jenny #VoteLabour,2019-11-03 14:19:50,London,None,13,False,Twitter for iPhone,0,False,None,shorter name is social murder so far tory lib policy has killed 130 000 innocent britons who says oxford university and others we need to end this evil slaughter of the innocents now 
1846,StMichael_Tokyo,St. Michael Tokyo,2019-11-03 14:19:50,"3-18-17, Nakameguro, Tokyo",None,0,False,Twitter Web App,0,False,None,vorankuendigung wir laden ein zu einem oekumenischen deutsch franzoesischer gottesdienst am 17 september in der kirche der university of the sacred heart 4 3 1 hiroo shibuya ku tokyo an diesem sonntag ist kein gottesdienst in st michael informationen auf unserer homepage 
1847,TheKiddDee,dani the phantom,2019-11-03 14:19:49,NYC,None,12,False,Twitter for iPhone,0,False,None,a woman at georgia state university just caused over 1 million dollars in water damage causing three floors to relocate heres the story 
1848,RockpathWV,Rich Stonestreet,2019-11-03 14:19:48,"Charleston, WV",None,0,False,Twitter for iPhone,0,False,None, gbo 
1849,speedwaysport,SPEEDWAY,2019-11-03 14:19:47,,None,3958,False,Twitter for Android,0,False,None,denmark pays its students 1 000 a month to go to university and charge no tuition fees students are seen as an investment in the future rather than a cost 
1850,livabramsss,olivia p.a.,2019-11-03 14:19:46,Arkansas✈️Alabama,None,385,False,Twitter for iPhone,0,False,None, ive been crying to stop myself from crying but i am proud to announce that i am the 2019 ms university of memphis these sweet babies wanted to take a picture with the princess and i almost lost it thank you everybody 
1851,BEricDottir,Eric dóttir😷,2019-11-03 14:19:44,Hong Kong,None,570,False,Twitter for iPhone,0,False,None,these heroes came out to help with the protest they re the american university students that got banned for supporting hong kong let s thank them for their bravery and coming down to the protest freehongkong blizzcon2019 boycottblizzard meiwithhongkong protestblizzcon 
1852,maelysdervenn,Maelys #fbpe revocatrice🕷️,2019-11-03 14:19:43,Europe,None,260,False,Twitter for Android,0,False,None,if you re at university you can register to vote at both your home address and your uni address don t let the tories silence you ge2019 registertwicevoteonce 
1853,Ron_BroncoBeat,Ron Counts,2019-11-03 14:19:43,"Boise, ID",None,1,False,TweetDeck,0,False,None,boise state needs a big second half from its running game in a road test at san jose state 
1854,JColinTaylor,Colin Taylor 🔶 🇪🇺,2019-11-03 14:19:42,Epsom,None,260,False,Twitter Web App,0,False,None,if you re at university you can register to vote at both your home address and your uni address don t let the tories silence you ge2019 registertwicevoteonce 
